Which of the following best explains why the Sun appears to move across the sky every day?	0	2.4	1.40.8999999999999999
Which of the following best explains why the Sun appears to move across the sky every day?	1	0.6	0.00.0
Which of the following best explains why the Sun appears to move across the sky every day?	2	0.6	0.00.0
Which of the following best explains why the Sun appears to move across the sky every day?	3	0.0	0.00.0
Which of the following best explains why the Sun appears to move across the sky every day?	4	0.0	-0.40.0
Which of the following best explains why the Sun appears to move across the sky every day?	5	0.6183250733501774	0.69087885400804420.3
Which of the following best explains why the Sun appears to move across the sky every day?	6	0.0	0.60.0
Which of the following best explains why the Sun appears to move across the sky every day?	7	0.6	-0.40.3
Which of the following best explains why the Sun appears to move across the sky every day?	8	0.0	-0.261071772122166150.0
Which of the following best explains why the Sun appears to move across the sky every day?	9	0.0	1.5281493976034880.3
Why are different stars seen during different seasons?	0	0.9434773659576704	-0.63504395136857771.2
Why are different stars seen during different seasons?	1	0.0	0.001928550011220720.3
Why are different stars seen during different seasons?	2	0.9157904207038722	0.69514157166583410.0
Why are different stars seen during different seasons?	3	0.0	0.28504395136857760.3
Why are different stars seen during different seasons?	4	0.0	-0.20.0
Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?	0	2.4	1.40.8999999999999999
Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?	1	1.7999999999999998	-0.40.6
Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?	2	2.4	0.00.0
How does the appearance of a constellation change during the night?	0	0.6	0.00.0
How does the appearance of a constellation change during the night?	1	0.7132217328288843	1.33895696871026250.0
How does the appearance of a constellation change during the night?	2	0.0	0.36484158686872660.0
How does the appearance of a constellation change during the night?	3	0.09281574336109544	0.35359212831945220.0
Which event occurs on a daily cycle?	0	0.6	0.00.0
Which event occurs on a daily cycle?	1	0.6	0.00.0
Which event occurs on a daily cycle?	2	0.1401928557400003	0.70.0
Which event occurs on a daily cycle?	3	0.0	0.27486669223941150.0
Which event occurs on a daily cycle?	4	0.0	0.251529984505398430.0
Which event occurs on a daily cycle?	5	0.0	0.27360332325519010.0
Which event occurs on a daily cycle?	6	0.0	-0.21746031746031750.0
Which event occurs on a daily cycle?	7	0.6	0.00.0
Which of the following statements best explains why stars appear to move across Earth's sky each night?	0	2.4	1.41.2
Which of the following statements best explains why stars appear to move across Earth's sky each night?	1	0.6183250733501774	0.69087885400804420.3
Which of the following statements best explains why stars appear to move across Earth's sky each night?	2	0.6	1.5281493976034880.3
Which of the following statements best explains why stars appear to move across Earth's sky each night?	3	0.6	0.199999999999999960.3
Which of the following statements best explains why stars appear to move across Earth's sky each night?	4	0.6	-0.67135922330097090.6
The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?	0	2.4	1.41.2
The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?	1	1.7999999999999998	0.00.0
The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?	2	1.7999999999999998	0.00.0
The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?	3	1.2	-0.40.3
The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?	4	1.2	0.00.0
